YearMonth,Consumption(kwh),Revenue,AvgPrice,Revenue_per_kWh
2024-05,127784.5,11207.722224666666,135.70518481182796,0.08770799451159308
2024-06,95393.1,13522.901642833333,176.68354398148148,0.1417597461748631
2024-07,87047.1,11193.569527666667,241.2205880376344,0.12859210160552925
2024-08,80618.9,4590.367115666667,149.51916890681005,0.056939093880798014
2024-09,74017.9,1720.7420455000004,80.29243287037038,0.023247647467707144
2024-10,55704.1,-473.0706581666668,35.23505264336917,-0.008492564428231797
2024-11,64885.5,2189.9459741666665,60.91160300925925,0.03375093008710215
2024-12,67391.8,5081.845832166667,61.41780094149294,0.07540748031906948
2025-01,67186.1,2534.7359036666667,48.22231182795699,0.03772708794924347
2025-02,64491.2,5208.065022833333,91.34458581349206,0.08075621205425443
2025-03,90678.9,3399.8600816666667,61.78833109318997,0.03749339793123502
2025-04,84743.7,4055.4922283333335,88.82251388888889,0.0478559731087188
