TradingHour,AvgRRP
0,54.642500000000005
1,44.541666666666664
2,47.928333333333335
3,45.98583333333334
4,40.160833333333336
5,32.15083333333333
6,0.2741666666666667
7,-36.160833333333336
8,-62.24333333333334
9,-81.53
10,-87.0825
11,-83.63333333333334
12,-91.70083333333334
13,-61.884166666666665
14,-49.26083333333333
15,2.811666666666666
16,11.739166666666668
17,47.37833333333333
18,47.05166666666667
19,60.28666666666667
20,62.37583333333333
21,56.225
22,46.458333333333336
23,55.406666666666666
