TradingHour,2024Jan,2024Feb,2024Mar,2024Apr,2024May,2024Jun,2024Jul,2024Aug,2024Sep,2024Oct,2024Nov,2024Dec,2025Jan,2025Feb,2025Mar,2025Apr,2025May,2025Jun,2025Jul
0,69.10894878706199,75.66382183908046,71.71215053763441,129.19677777777775,129.2233064516129,143.16677777777778,133.12806451612903,108.37698924731183,61.190777777777775,63.550268817204305,109.78041666666665,111.59206989247312,101.42717741935483,94.66607142857143,88.60416666666667,114.69102777777776,84.70513440860215,128.0332222222222,154.4358490566038
1,64.53822580645162,71.38295977011494,66.23970430107526,108.81044444444446,125.99462365591398,137.9311111111111,120.82166666666667,97.14881720430108,49.48833333333333,52.77448924731183,97.28216666666667,107.95489247311828,93.1433064516129,86.0758630952381,81.10674731182796,108.14177777777778,88.08790322580644,119.08461111111112,113.34492424242424
2,60.4347311827957,69.95617816091954,62.682016129032256,103.60333333333332,119.90448924731183,127.03333333333333,111.70717741935484,78.75900537634408,38.00683333333333,43.66852150537635,92.98136111111111,100.18266129032257,83.167311827957,75.81077380952381,78.64594086021506,101.22694444444444,82.96715053763441,107.78455555555556,95.42893939393939
3,58.288360215053764,75.01698275862068,65.66693548387096,99.25741666666666,122.40397849462366,119.63766666666666,105.02091397849462,69.01217741935484,30.650388888888887,43.692553763440856,90.45299999999999,100.67513440860215,85.44225806451612,74.34077380952381,78.55795698924732,98.04352777777777,75.13956989247312,102.05713888888889,110.66287878787878
4,61.377043010752686,78.72270114942529,71.08903225806452,104.84563888888889,133.33282258064514,123.25927777777778,110.38994623655914,99.80021505376344,19.713,51.4935752688172,100.04966666666665,106.63583333333332,91.59709677419356,79.16663690476192,83.3696505376344,104.5775,75.92704301075268,101.06813888888888,87.30340909090908
5,73.45228494623656,81.84583333333333,83.0419623655914,112.70922222222222,143.332123655914,142.3701111111111,125.51766129032258,77.23736559139785,28.903388888888887,67.43599462365592,105.7316111111111,100.34067204301076,102.38841397849461,110.42791666666666,97.77559139784945,116.89705555555557,85.3133064516129,105.55127777777777,87.90314393939394
6,50.038252688172044,88.88247126436781,110.31887096774194,141.86416666666668,178.07868279569894,169.65144444444442,158.20661290322582,118.69405913978495,51.55788888888889,66.4142741935484,73.90119444444444,42.08486559139785,64.23043010752689,112.5513988095238,123.85220430107526,139.91741666666667,106.44741935483871,129.29716666666667,132.94492424242424
7,22.287553763440858,26.256379310344826,63.100860215053764,164.55458333333334,212.88158602150537,216.6799722222222,202.53225806451613,412.1894892473118,25.516444444444446,114.22739247311827,55.29752777777778,2.3933870967741933,24.730564516129032,52.56672619047619,82.15731182795699,111.93291666666666,138.574623655914,196.039,207.57598484848484
8,12.165940860215052,6.713879310344828,24.27228494623656,82.96419444444444,159.02771505376344,208.33125,446.8800268817204,565.6289784946237,-3.0521666666666665,-23.887661290322583,30.179388888888887,-8.398172043010753,-0.6810483870967743,39.15190476190477,29.926881720430107,69.60194444444444,102.68435483870968,162.34055555555554,232.4476893939394
9,-3.152419354838709,-24.46862068965517,-2.646532258064516,55.91155555555555,119.44118279569894,184.03483333333332,229.01239247311827,149.58416666666668,31.293194444444442,-46.733629032258065,0.062305555555555656,-18.712956989247314,-19.135107526881722,-10.765625,-3.308091397849462,27.162277777777778,63.362876344086025,118.32294444444445,87.88386363636364
