Z值,总收益
0.0,12986906.0047
2.0,12986565.0592
4.0,12985453.9986
6.0,12984003.4248
8.0,12983966.0187
10.0,12973837.6466
12.0,12971528.2108
14.0,12966853.153199999
16.0,12961437.9585
18.0,12958229.6562
20.0,12949600.7767
22.0,12930974.245499998
24.0,12904302.6765
26.0,12876386.2541
28.0,12866143.749599999
30.0,12846248.793799998
32.0,12834559.2914
34.0,12807349.776999997
36.0,12776914.3894
38.0,12751440.9592
40.0,12733579.3271
42.0,12691673.986599999
44.0,12643565.162099998
46.0,12579998.751699999
48.0,12523396.976999998
50.0,12456747.2228
