YearMonth,Consumption(kwh),Revenue,AvgPrice,Revenue_per_kWh
2024-05,127784.5,11341.381431333333,135.74843189964156,0.08875396805820215
2024-06,95393.1,13786.6751585,176.74708449074075,0.14452486771579914
2024-07,87047.1,11378.225310666667,241.14409050179214,0.1307134334247398
2024-08,80618.9,4431.810661666666,149.4078830645161,0.05497235340182844
2024-09,74017.9,2116.3174048333335,80.37088541666667,0.028591967683943124
2024-10,55704.1,-370.70838033333337,35.232756496415774,-0.006654956822448139
2024-11,64885.5,2213.1566326666666,60.91955324074074,0.03410864727353055
2024-12,67391.8,5254.5623749999995,61.433484644698495,0.07797035210515225
2025-01,67186.1,2657.3498351666667,48.1833792562724,0.03955207751553769
2025-02,64491.2,6451.962067833333,91.39309523809524,0.10004406907970907
2025-03,90678.9,3618.9773235000002,61.72063396057347,0.03990980617872515
2025-04,84743.7,4286.667241833334,88.84761574074074,0.050583904665872904
